symbol, name, price, datetime
AMD,Advanced Micro Devices, Inc.,103.83,2025-05-08 13:45:40.566762
AMD,Advanced Micro Devices, Inc.,103.68,2025-05-08 13:47:17.182921
AMD,Advanced Micro Devices, Inc.,103.76,2025-05-08 13:48:48.000623
AMD,Advanced Micro Devices, Inc.,103.9,2025-05-08 13:50:22.379593
AMD,Advanced Micro Devices, Inc.,103.86,2025-05-08 13:51:54.409529
AMD,Advanced Micro Devices, Inc.,103.85,2025-05-08 13:53:26.233407
AMD,Advanced Micro Devices, Inc.,103.88,2025-05-08 13:55:04.685464
AMD,Advanced Micro Devices, Inc.,103.75,2025-05-08 13:56:42.398310
